val_loss,epoch,step,train_loss_epoch,train_loss_step
1.2508807182312012,0,26,,
,0,26,1.0921554565429688,
,1,49,,0.828621506690979
1.3225362300872803,1,53,,
,1,53,1.0495312213897705,
1.327105164527893,2,80,,
,2,80,1.0442843437194824,
,3,99,,0.9915345907211304
1.367480993270874,3,107,,
,3,107,1.0314197540283203,
1.3734753131866455,4,134,,
,4,134,1.023063063621521,
,5,149,,1.0053428411483765
1.3441643714904785,5,161,,
,5,161,1.0226123332977295,
1.3557029962539673,6,188,,
,6,188,1.0229295492172241,
,7,199,,1.0825802087783813
1.3454349040985107,7,215,,
,7,215,1.0270066261291504,
1.3764936923980713,8,242,,
,8,242,1.0207242965698242,
,9,249,,1.010667085647583
1.3461577892303467,9,269,,
,9,269,1.0214929580688477,
1.3444323539733887,10,296,,
,10,296,1.0243757963180542,
