val_loss,epoch,step,train_loss_epoch
1.2023226022720337,0,0,
,0,0,1.2769277095794678
1.2741467952728271,1,1,
,1,1,1.111968755722046
1.2979786396026611,2,2,
,2,2,1.0202330350875854
1.3086808919906616,3,3,
,3,3,1.0007429122924805
1.3240420818328857,4,4,
,4,4,0.9530282616615295
1.3185865879058838,5,5,
,5,5,0.9550759792327881
1.3337733745574951,6,6,
,6,6,0.9565855264663696
1.3553440570831299,7,7,
,7,7,0.9410266280174255
1.3781232833862305,8,8,
,8,8,0.9232572913169861
1.3843834400177002,9,9,
,9,9,0.8987197875976562
1.4924137592315674,10,10,
,10,10,0.874623715877533
